"","code","country.x","primary","country.y","poverty","region","income","gini","duration","completion","trained_teacher"
"218","SST","Small states",85.52739,"Small states",NA,NA,NA,NA,9,"#DIV/0!","80.87750479"
"219","STP","Sao Tome and Principe",NA,"Sao Tome and Principe",NA,"Sub-Saharan Africa","Lower middle income",NA,6,"88.02041626","34.1757431"
"220","SUR","Suriname",90.47281,"Suriname",NA,"Latin America & Caribbean","Upper middle income",NA,6,"82.09189987","97.89647883"
"221","SVK","Slovak Republic",82.21387,"Slovak Republic",1.4,"Europe & Central Asia","High income",26.5,11,"99.78486718","95.90000153"
"222","SVN","Slovenia",98.18158,"Slovenia",0,"Europe & Central Asia","High income",25.4,9,"99.64631435","#DIV/0!"
"223","SWE","Sweden",99.60466,"Sweden",0.3,"Europe & Central Asia","High income",29.2,10,"100","#DIV/0!"
"224","SWZ","Eswatini",84.37134,"Eswatini",36.1,"Sub-Saharan Africa","Lower middle income",NA,7,"#DIV/0!","77.74375057"
"225","SXM","Sint Maarten (Dutch part)",NA,"Sint Maarten (Dutch part)",NA,"Latin America & Caribbean","High income",NA,14,"#DIV/0!","#DIV/0!"
"226","SYC","Seychelles",94.62863,"Seychelles",NA,"Sub-Saharan Africa","High income",NA,10,"#DIV/0!","79.07515687"
"227","SYR","Syrian Arab Republic",NA,"Syrian Arab Republic",NA,"Middle East & North Africa","Low income",NA,9,"#DIV/0!","#DIV/0!"
"228","TCA","Turks and Caicos Islands",NA,"Turks and Caicos Islands",NA,"Latin America & Caribbean","High income",NA,13,"96.1295929","91.394207"
"229","TCD","Chad",73.4665,"Chad",NA,"Sub-Saharan Africa","Low income",NA,10,"18.63986969","66.24145317"
"230","TEA","East Asia & Pacific (IDA & IBRD countries)",95.9392,"East Asia & Pacific (IDA & IBRD countries)",NA,NA,NA,NA,9,"#DIV/0!","#DIV/0!"
"231","TEC","Europe & Central Asia (IDA & IBRD countries)",95.10779,"Europe & Central Asia (IDA & IBRD countries)",NA,NA,NA,NA,10,"#DIV/0!","95.19868747"
"232","TGO","Togo",NA,"Togo",NA,"Sub-Saharan Africa","Low income",43.1,10,"36.82966518","76.19950443"
"233","THA","Thailand",NA,"Thailand",0,"East Asia & Pacific","Upper middle income",36,9,"65.21500626","100"
"234","TJK","Tajikistan",97.74311,"Tajikistan",NA,"Europe & Central Asia","Lower middle income",34,9,"95.75018311","96.82384109"
"235","TKM","Turkmenistan",NA,"Turkmenistan",NA,"Europe & Central Asia","Upper middle income",NA,12,"99.66532135","99.54738617"
"236","TLA","Latin America & the Caribbean (IDA & IBRD countries)",95.65156,"Latin America & the Caribbean (IDA & IBRD countries)",NA,NA,NA,NA,13.5,"#DIV/0!","78.94860077"
"237","TLS","Timor-Leste",93.97609,"Timor-Leste",NA,"East Asia & Pacific","Lower middle income",NA,9,"45.35199547","#DIV/0!"
"238","TMN","Middle East & North Africa (IDA & IBRD countries)",93.99606,"Middle East & North Africa (IDA & IBRD countries)",NA,NA,NA,NA,9,"#DIV/0!","85.64781189"
"239","TON","Tonga",NA,"Tonga",NA,"East Asia & Pacific","Upper middle income",33.5,15,"96.15819168","95.6703043"
"240","TSA","South Asia (IDA & IBRD)",91.62522,"South Asia (IDA & IBRD)",NA,NA,NA,NA,9,"#DIV/0!","74.74106026"
"241","TSS","Sub-Saharan Africa (IDA & IBRD countries)",77.93112,"Sub-Saharan Africa (IDA & IBRD countries)",NA,NA,NA,NA,8,"#DIV/0!","73.17415758"
"242","TTO","Trinidad and Tobago",NA,"Trinidad and Tobago",NA,"Latin America & Caribbean","High income",NA,7,"#DIV/0!","80.50618744"
"243","TUN","Tunisia",NA,"Tunisia",NA,"Middle East & North Africa","Lower middle income",32.8,9,"64.37879181","100"
"244","TUR","Turkiye",94.14611,"Turkiye",0.2,"Europe & Central Asia","Upper middle income",42.9,12,"87.94481066","#DIV/0!"
"245","TUV","Tuvalu",87.89088,"Tuvalu",NA,"East Asia & Pacific","Upper middle income",NA,8,"93.25488281","68.68674393"
"246","TZA","Tanzania",84.56048,"Tanzania",NA,"Sub-Saharan Africa","Lower middle income",NA,7,"63.36272049","97.56053925"
"247","UGA","Uganda",NA,"Uganda",42.7,"Sub-Saharan Africa","Low income",NA,7,"39.6780599","78.61921183"
"248","UKR","Ukraine",NA,"Ukraine",0.1,"Europe & Central Asia","Lower middle income",25.5,11,"#DIV/0!","92.05373298"
"249","UMC","Upper middle income",96.26969,"Upper middle income",2.4,NA,NA,NA,10,"#DIV/0!","#DIV/0!"
"250","URY","Uruguay",99.91235,"Uruguay",0.1,"Latin America & Caribbean","High income",40.1,14,"89.35181704","100"
"251","USA","United States",99.64003,"United States",1,"North America","High income",41.2,12,"98.58882488","100"
"252","UZB","Uzbekistan",97.5543,"Uzbekistan",NA,"Europe & Central Asia","Lower middle income",NA,12,"99.99710083","99.63930702"
"253","VCT","St. Vincent and the Grenadines",97.41197,"St. Vincent and the Grenadines",NA,"Latin America & Caribbean","Upper middle income",NA,12,"91.2883606","79.87479713"
"254","VEN","Venezuela, RB",91.20013,"Venezuela, RB",NA,"Latin America & Caribbean",NA,NA,NA,"86.48682949","#DIV/0!"
"255","VGB","British Virgin Islands",NA,"British Virgin Islands",NA,"Latin America & Caribbean","High income",NA,12,"#DIV/0!","79.04749001"
"256","VIR","Virgin Islands (U.S.)",NA,"Virgin Islands (U.S.)",NA,"Latin America & Caribbean","High income",NA,NA,"#DIV/0!","#DIV/0!"
"257","VNM","Viet Nam",NA,"Viet Nam",1.3,"East Asia & Pacific","Lower middle income",NA,10,"88.63423157","99.52637482"
"258","VUT","Vanuatu",NA,"Vanuatu",NA,"East Asia & Pacific","Lower middle income",NA,NA,"#DIV/0!","100"
"259","WLD","World",90.5136,"World",10.5,NA,NA,NA,10,"#DIV/0!","86.2959678"
"260","WSM","Samoa",96.35006,"Samoa",NA,"East Asia & Pacific","Lower middle income",NA,8,"96.2550354","#DIV/0!"
"261","XKX","Kosovo",NA,"Kosovo",0.8,"Europe & Central Asia","Upper middle income",26.5,NA,"#DIV/0!","#DIV/0!"
"262","YEM","Yemen, Rep.",84.39664,"Yemen, Rep.",NA,"Middle East & North Africa","Low income",NA,9,"#DIV/0!","#DIV/0!"
"263","ZAF","South Africa",NA,"South Africa",NA,"Sub-Saharan Africa","Upper middle income",NA,9,"82.96507492","#DIV/0!"
"264","ZMB","Zambia",NA,"Zambia",NA,"Sub-Saharan Africa","Lower middle income",55.9,7,"60.81071854","89.29689135"
"265","ZWE","Zimbabwe",NA,"Zimbabwe",NA,"Sub-Saharan Africa","Lower middle income",NA,7,"77.59745636","94.23592606"
